Date, Revenue 
2016-05-01," $4,051.56 "
2016-05-02," $7,635.20 "
2016-05-03," $7,432.90 "
2016-05-04," $7,920.98 "
2016-05-05," $4,959.94 "
2016-05-06," $4,350.22 "
2016-05-07," $3,308.50 "
2016-05-08," $3,557.75 "
2016-05-09," $9,490.01 "
2016-05-10," $5,324.63 "
2016-05-11," $4,197.50 "
2016-05-12," $5,997.56 "
2016-05-13," $5,052.20 "
2016-05-14," $3,441.75 "
2016-05-15," $2,967.90 "
2016-05-16," $11,421.16 "
2016-05-17," $8,929.96 "
2016-05-18," $4,922.27 "
2016-05-19," $2,503.50 "
2016-05-20," $5,931.10 "
2016-05-21, $181.32 
2016-05-22," $3,244.68 "
2016-05-23," $8,250.54 "
2016-05-24," $2,978.97 "
2016-05-25," $4,191.06 "
2016-05-26," $1,859.95 "
2016-05-27," $2,858.00 "
2016-05-28," $2,126.44 "
2016-05-29," $2,527.25 "
2016-05-30," $3,214.69 "
2016-05-31," $8,335.28 "
2016-06-01," $5,462.81 "
2016-06-02," $3,531.81 "
2016-06-03," $4,164.25 "
2016-06-04, $991.94 
2016-06-05," $3,268.40 "
2016-06-06," $6,636.89 "
2016-06-07," $9,507.80 "
2016-06-08," $4,524.00 "
2016-06-09," $3,172.20 "
2016-06-10," $1,909.55 "
2016-06-11," $2,960.25 "
2016-06-12," $2,269.24 "
2016-06-13," $6,548.42 "
2016-06-14," $6,610.28 "
2016-06-15," $6,086.11 "
2016-06-16," $6,126.16 "
2016-06-17," $6,341.78 "
2016-06-18," $2,297.49 "
2016-06-19," $4,454.25 "
2016-06-20," $8,220.79 "
2016-06-21," $6,064.45 "
2016-06-22," $5,644.68 "
2016-06-23," $4,803.77 "
2016-06-24," $5,737.19 "
2016-06-25," $1,642.16 "
2016-06-26," $3,772.53 "
2016-06-27," $9,505.65 "
2016-06-28," $7,392.85 "
2016-06-29," $8,216.83 "
2016-06-30," $8,442.60 "
2016-07-01," $5,045.63 "
2016-07-02," $2,783.40 "
2016-07-03," $2,022.74 "
2016-07-04," $1,625.15 "
2016-07-05," $5,811.39 "
2016-07-06," $3,835.68 "
2016-07-07," $7,771.63 "
2016-07-08," $7,625.06 "
2016-07-09," $1,954.50 "
2016-07-10," $4,759.52 "
2016-07-11," $6,048.00 "
2016-07-12," $7,166.25 "
2016-07-13," $14,785.79 "
2016-07-14," $9,417.22 "
2016-07-15," $5,124.80 "
2016-07-16," $1,024.25 "
2016-07-17," $1,833.25 "
2016-07-18," $4,985.81 "
2016-07-19," $6,927.70 "
2016-07-20," $4,394.47 "
2016-07-21," $6,095.25 "
2016-07-22," $2,520.82 "
2016-07-23, $704.35 
2016-07-24," $1,815.25 "
2016-07-25," $10,539.93 "
2016-07-26," $5,950.44 "
2016-07-27," $5,511.63 "
